COMMAND                               PID              USER   FD      TYPE         NODE NAME
kauditd                                20              root root       DIR         2 /
kauditd                                20              root  exe   unknown             
khungtaskd                             21              root  cwd       DIR         2 /
khungtaskd                             21              root root       DIR         2 /
khungtaskd                             21              root  exe   unknown             
oom_reaper                             22              root  cwd       DIR         2 /
oom_reaper                             22              root root       DIR         2 /
oom_reaper                             22              root  exe   unknown             
writeback                              23              root  cwd       DIR         2 /
writeback                              23              root root       DIR         2 /
writeback                              23              root  exe   unknown             
kcompactd0                             24              root  cwd       DIR         2 /
kcompactd0                             24              root root       DIR         2 /
kcompactd0                             24              root  exe   unknown             
ksmd                                   25              root  cwd       DIR         2 /
ksmd                                   25              root root       DIR         2 /
ksmd                                   25              root  exe   unknown             
khugepaged                             26              root  cwd       DIR         2 /
khugepaged                             26              root root       DIR         2 /
khugepaged                             26              root  exe   unknown             
kintegrityd                            72              root  cwd       DIR         2 /
kintegrityd                            72              root root       DIR         2 /
kintegrityd                            72              root  exe   unknown             
kblockd                                73              root  cwd       DIR         2 /
kblockd                                73              root root       DIR         2 /
kblockd                                73              root  exe   unknown             
blkcg_punt_bio                         74              root  cwd       DIR         2 /
blkcg_punt_bio                         74              root root       DIR         2 /
blkcg_punt_bio                         74              root  exe   unknown             
tpm_dev_wq                             75              root  cwd       DIR         2 /
tpm_dev_wq                             75              root root       DIR         2 /
tpm_dev_wq                             75              root  exe   unknown             
ata_sff                                76              root  cwd       DIR         2 /
ata_sff                                76              root root       DIR         2 /
ata_sff                                76              root  exe   unknown             
md                                     77              root  cwd       DIR         2 /
md                                     77              root root       DIR         2 /
md                                     77              root  exe   unknown             
edac-poller                            78              root  cwd       DIR         2 /
edac-poller                            78              root root       DIR         2 /
edac-poller                            78              root  exe   unknown             
devfreq_wq                             79              root  cwd       DIR         2 /
devfreq_wq                             79              root root       DIR         2 /
devfreq_wq                             79              root  exe   unknown             
watchdogd                              80              root  cwd       DIR         2 /
watchdogd                              80              root root       DIR         2 /
watchdogd                              80              root  exe   unknown             
pm_wq                                  82              root  cwd       DIR         2 /
pm_wq                                  82              root root       DIR         2 /
pm_wq                                  82              root  exe   unknown             
kswapd0                                86              root  cwd       DIR         2 /
kswapd0                                86              root root       DIR         2 /
kswapd0                                86              root  exe   unknown             
ecryptfs-kthrea                        87              root  cwd       DIR         2 /
ecryptfs-kthrea                        87              root root       DIR         2 /
ecryptfs-kthrea                        87              root  exe   unknown             
kthrotld                               89              root  cwd       DIR         2 /
kthrotld                               89              root root       DIR         2 /
kthrotld                               89              root  exe   unknown             
acpi_thermal_pm                        90              root  cwd       DIR         2 /
acpi_thermal_pm                        90              root root       DIR         2 /
acpi_thermal_pm                        90              root  exe   unknown             
scsi_eh_0                              91              root  cwd       DIR         2 /
scsi_eh_0                              91              root root       DIR         2 /
scsi_eh_0                              91              root  exe   unknown             
