COMMAND	PID	USER	FD	TYPE	NODE	NAME
rcu_gp	3	root	cwd	DIR	2	/
rcu_gp	3	root	rtd	DIR	2	/
rcu_gp	3	root	txt	unknown		
rcu_par_g	4	root	cwd	DIR	2	/
rcu_par_g	4	root	rtd	DIR	2	/
rcu_par_g	4	root	txt	unknown		
kworker/0	6	root	cwd	DIR	2	/
kworker/0	6	root	rtd	DIR	2	/
kworker/0	6	root	txt	unknown		
mm_percpu	9	root	cwd	DIR	2	/
mm_percpu	9	root	rtd	DIR	2	/
mm_percpu	9	root	txt	unknown		
ksoftirqd	10	root	cwd	DIR	2	/
ksoftirqd	10	root	rtd	DIR	2	/
ksoftirqd	10	root	txt	unknown		
rcu_sched	11	root	cwd	DIR	2	/
rcu_sched	11	root	rtd	DIR	2	/
rcu_sched	11	root	txt	unknown		
migration	12	root	cwd	DIR	2	/
migration	12	root	rtd	DIR	2	/
migration	12	root	txt	unknown		
idle_inje	13	root	cwd	DIR	2	/
idle_inje	13	root	rtd	DIR	2	/
idle_inje	13	root	txt	unknown		
cpuhp/0	14	root	cwd	DIR	2	/
cpuhp/0	14	root	rtd	DIR	2	/
cpuhp/0	14	root	txt	unknown		
kdevtmpfs	15	root	cwd	DIR	2	/
kdevtmpfs	15	root	rtd	DIR	2	/
kdevtmpfs	15	root	txt	unknown		
netns	16	root	cwd	DIR	2	/
netns	16	root	rtd	DIR	2	/
netns	16	root	txt	unknown		
rcu_tasks	17	root	cwd	DIR	2	/
rcu_tasks	17	root	rtd	DIR	2	/
rcu_tasks	17	root	txt	unknown		
rcu_tasks	18	root	cwd	DIR	2	/
rcu_tasks	18	root	rtd	DIR	2	/
rcu_tasks	18	root	txt	unknown		
rcu_tasks	19	root	cwd	DIR	2	/
rcu_tasks	19	root	rtd	DIR	2	/
rcu_tasks	19	root	txt	unknown		
kauditd	20	root	cwd	DIR	2	/
kauditd	20	root	rtd	DIR	2	/
kauditd	20	root	txt	unknown		
khungtask	21	root	cwd	DIR	2	/
khungtask	21	root	rtd	DIR	2	/
khungtask	21	root	txt	unknown		
oom_reape	22	root	cwd	DIR	2	/
oom_reape	22	root	rtd	DIR	2	/
oom_reape	22	root	txt	unknown		
writeback	23	root	cwd	DIR	2	/
writeback	23	root	rtd	DIR	2	/
writeback	23	root	txt	unknown		
kcompactd	24	root	cwd	DIR	2	/
kcompactd	24	root	rtd	DIR	2	/
kcompactd	24	root	txt	unknown		
ksmd	25	root	cwd	DIR	2	/
ksmd	25	root	rtd	DIR	2	/
ksmd	25	root	txt	unknown		
khugepage	26	root	cwd	DIR	2	/
khugepage	26	root	rtd	DIR	2	/
khugepage	26	root	txt	unknown		
kintegrit	72	root	cwd	DIR	2	/
kintegrit	72	root	rtd	DIR	2	/
kintegrit	72	root	txt	unknown		
kblockd	73	root	cwd	DIR	2	/
kblockd	73	root	rtd	DIR	2	/
kblockd	73	root	txt	unknown		
blkcg_pun	74	root	cwd	DIR	2	/
blkcg_pun	74	root	rtd	DIR	2	/
blkcg_pun	74	root	txt	unknown		
tpm_dev_w	75	root	cwd	DIR	2	/
tpm_dev_w	75	root	rtd	DIR	2	/
tpm_dev_w	75	root	txt	unknown		
ata_sff	76	root	cwd	DIR	2	/
ata_sff	76	root	rtd	DIR	2	/
ata_sff	76	root	txt	unknown		
md	77	root	cwd	DIR	2	/
md	77	root	rtd	DIR	2	/
md	77	root	txt	unknown		
edac-poll	78	root	cwd	DIR	2	/
edac-poll	78	root	rtd	DIR	2	/
edac-poll	78	root	txt	unknown		
devfreq_w	79	root	cwd	DIR	2	/
devfreq_w	79	root	rtd	DIR	2	/
devfreq_w	79	root	txt	unknown		
watchdogd	80	root	cwd	DIR	2	/
watchdogd	80	root	rtd	DIR	2	/
watchdogd	80	root	txt	unknown		
pm_wq	82	root	cwd	DIR	2	/
pm_wq	82	root	rtd	DIR	2	/
pm_wq	82	root	txt	unknown		
kswapd0	86	root	cwd	DIR	2	/
kswapd0	86	root	rtd	DIR	2	/
kswapd0	86	root	txt	unknown		
ecryptfs-	87	root	cwd	DIR	2	/
ecryptfs-	87	root	rtd	DIR	2	/
ecryptfs-	87	root	txt	unknown		
kthrotld	89	root	cwd	DIR	2	/
kthrotld	89	root	rtd	DIR	2	/
kthrotld	89	root	txt	unknown		
acpi_ther	90	root	cwd	DIR	2	/
